,brand,category,id,name,price
243,Desperados,Mexicaans bier,304142DS,Desperados Original Bier Partypack Fles 12 x 25cl,13.99
244,,"Kriek, fruitbier",296227FLS,The Wild Mill Red by Jeremy 33cl,2.39
245,Gulpener,Bockbier,294000FLS,Gulpener Oedipus Flitspopper Fles 30cl,2.13
246,Grimbergen,Dubbel,296294FLS,Grimbergen Dubbel Fles 75cl,5.49
247,Texels,Ale,311814FLS,Texels Noorderwiend 300ml,1.75
248,Polar Monkeys,Amber bier,296339FLS,Polar Monkeys Blue Collar 33cl,1.79
249,Leffe,Ale,311811PAK,Leffe Winterbier 6 x 33cl,6.99
250,Uiltje,Ale,300538FLS,Uiltje Juicy Pale Ale Track Down Fles 330ml,2.49
251,Wilderen,"Kriek, fruitbier",293521FLS,Wilderen Kriek Fles 25cl,1.66
252,Brasserie Le Fort,Tripel,296201FLS,Brasserie Le Fort Tripel Fles 33cl,2.09
253,Brothers In Law,Tripel,296262FLS,Brothers In Law Tripel 33cl,2.51
254,Brouwersnos,Blond,296290FLS,Brouwersnos Frolijke Frans 33cl,2.49
255,Kissmeyer,Indian pale ale,296259FLS,Kissmeyer Easy Kiss 33cl,2.09
256,Brouwersnos,Blond,296288FLS,Brouwersnos Willemken 4 Granen Blond 33cl,2.69
257,Hoegaarden,Blond,296228FLS,Hoegaarden Julius 33cl,1.62
258,Affligem,Blond,294007PAK,Affligem Blond 0.0 Alcoholvrij Bier Fles 6 x 30cl,5.99
259,Grolsch,Bockbier,311813PAK,Grolsch Winterbok Fles 6 x 30cl,6.39
260,Bird Brewery,Amber bier,296205FLS,Bird Brewery de Rumoerige Roodborst American Amber Ale Fles 33cl,3.31
261,Oedipus,Tripel,296200FLS,Oedipus Thai Thai Tripel Fles 33cl,2.37
262,Kissmeyer,Amber bier,296258FLS,Kissmeyer Burning Kiss 33cl,2.09
263,Gulpener,Bockbier,296363FLS,Gulpener IJsbock Fles 30cl,1.99
264,Palm,Dubbel,311812PAK,PALM Dobbel Speciaal Bier Fles 6 x 25cl,4.69
265,Bird Brewery,Saison,296204FLS,Bird Brewery Datisandere Koekoek Farmhouse Ale Fles 33cl,2.49
266,Brasserie Le Fort,Oud bruin bier,296179FLS,Brasserie Le Fort Belgian Brown Ale Fles 33cl,2.09
267,Blauwe Tram,Tripel,212933FLS,Blauwe Tram Klein Duimpje Tripel 33cl,2.27
268,Floreffe,Tripel,296178FLS,Floreffe Abdijbier Tripel Fles 330ml,2.39
269,Davo,Ale,300539BLK,Davo Surf Ale 33cl,2.43
270,Bird Brewery,Bockbier,296202STK,Bird Brewery Lekkerinde Kauw Herfstbock Fles 330ml,2.69
271,Floreffe,Dubbel,296177FLS,Floreffe Abdijbier Dubbel Fles 330ml,1.89
272,Põhjala,Indian pale ale,296281FLS,Põhjala Kosmos 33cl,2.69
273,Walhalla,Indian pale ale,296280FLS,Walhalla Juno 33cl,2.35
274,Bevog,Indian pale ale,296269FLS,Bevog Deetz 33cl,2.94
